Index,Hatch_Distance,Laser_Power,Scan_Speed,Layer_Thickness,ED,TE,Density
1,0.09385,147,630,0.025,99.44947611,0.233333333,98.436
2,0.13305,287,1700,0.025,50.75491301,0.168823529,99.98
3,0.16961,225,613,0.025,86.56265747,0.367047308,98.685
4,0.14743,231,800,0.025,78.34226413,0.28875,99.629
5,0.10345,180,388,0.025,179.3784537,0.463917526,96.253
6,0.07867,147,1390,0.025,53.77165155,0.105755396,99.966
7,0.15242,89,545,0.025,42.85599063,0.163302752,93.473
8,0.14665,257,451,0.025,155.4298778,0.569844789,97.513
9,0.14628,206,1112,0.025,50.65676745,0.185251799,99.959
10,0.14476,137,1065,0.025,35.54531574,0.128638498,97.424
11,0.18622,99,1169,0.025,18.19090695,0.084687767,63.302
12,0.16584,241,876,0.025,66.35652563,0.275114155,99.976
13,0.0749,80,929,0.025,45.98883908,0.086114101,91.926
14,0.06402,89,751,0.025,74.04477046,0.118508655,99.523
15,0.12324,193,369,0.025,169.7615159,0.52303523,95.126
16,0.06324,218,1486,0.025,92.79099127,0.146702557,99.666
17,0.063,187,1280,0.025,92.75793651,0.14609375,99.358
18,0.07435,240,1301,0.025,99.24598894,0.184473482,99.537
19,0.05873,51,349,0.025,99.52787683,0.146131805,80.345
20,0.07696,61,1186,0.025,26.73253095,0.05143339,55.793
21,0.05792,52,537,0.025,66.87449201,0.096834264,71.039
22,0.18916,232,1314,0.025,37.33561467,0.176560122,99.946
23,0.11702,311,1672,0.025,63.58051092,0.186004785,99.985
24,0.11506,166,609,0.025,94.76029783,0.272577997,98.252
25,0.12665,189,1391,0.025,42.91305877,0.135873472,99.995
26,0.12331,212,1422,0.025,48.36129905,0.149085795,99.994
27,0.08393,335,942,0.025,169.4871092,0.355626327,99.466
28,0.1109,178,1247,0.025,51.48515138,0.142742582,99.996
29,0.09157,131,1098,0.025,52.11655888,0.119307832,99.998
30,0.05981,149,1031,0.025,96.65265582,0.144519884,99.989
31,0.18494,298,492,0.025,131.0027159,0.605691057,97.797
32,0.16382,291,803,0.025,88.48517486,0.362391034,99.538
33,0.0722,119,846,0.025,77.92905182,0.140661939,99.795
34,0.19152,283,609,0.025,97.05434906,0.464696223,98.282
35,0.05969,109,951,0.025,76.8076351,0.114616193,99.76
36,0.1384,88,283,0.025,89.87111665,0.310954064,98.594
37,0.17743,343,1538,0.025,50.27715833,0.223016905,99.6
38,0.07279,306,1364,0.025,123.2807671,0.224340176,99.447
39,0.10647,223,1369,0.025,61.1975664,0.162892622,99.844
40,0.08661,205,1686,0.025,56.15497568,0.121589561,99.914
41,0.08782,181,1184,0.025,69.62952477,0.152871622,99.914
42,0.15962,340,1671,0.025,50.98884237,0.203470975,99.892
43,0.16216,58,265,0.025,53.98814123,0.218867925,80.187
44,0.15673,180,790,0.025,58.15047566,0.227848101,99.757
45,0.13053,297,1497,0.025,60.79730134,0.198396794,99.924
46,0.16424,340,783,0.025,105.7543426,0.434227331,99.49
47,0.13973,328,1177,0.025,79.77516537,0.278674596,99.866
48,0.14413,211,1217,0.025,48.11688252,0.173377157,99.933
49,0.08983,57,717,0.025,35.39926882,0.079497908,57.779
50,0.10822,276,542,0.025,188.218478,0.509225092,97.898
51,0.12037,325,1342,0.025,80.47714777,0.242175857,99.995
52,0.12208,219,1042,0.025,68.86393995,0.210172745,99.972
53,0.11882,175,1590,0.025,37.05197545,0.110062893,99.996
54,0.06553,192,700,0.025,167.4260426,0.274285714,97.057
55,0.14587,182,908,0.025,54.96415401,0.200440529,99.919
56,0.10869,260,1649,0.025,58.02606162,0.157671316,99.992
57,0.15679,335,597,0.025,143.1568412,0.561139028,98.625
58,0.06633,159,1236,0.025,77.57622596,0.128640777,99.949
59,0.13053,141,385,0.025,112.2297606,0.366233766,94.457
60,0.08941,271,1017,0.025,119.2126204,0.26647001,99.795
61,0.12709,80,541,0.025,46.54160259,0.147874307,93.258
62,0.17266,230,584,0.025,91.2395729,0.393835616,98.29
63,0.14512,148,818,0.025,49.87020269,0.180929095,99.919
64,0.18368,172,975,0.025,38.41686769,0.176410256,99.898
65,0.06086,293,1681,0.025,114.5586666,0.174301011,99.705
66,0.08835,147,505,0.025,131.7890702,0.291089109,92.795
67,0.06243,85,668,0.025,81.5284376,0.127245509,99.676
68,0.19631,295,846,0.025,71.05084073,0.348699764,99.965
69,0.17384,317,743,0.025,98.17043751,0.426648721,99.523
70,0.10087,249,773,0.025,127.7373269,0.322121604,98.416
71,0.13041,183,403,0.025,139.2820467,0.454094293,94.637
72,0.10421,197,1542,0.025,49.03796596,0.127756161,99.98
73,0.1081,190,808,0.025,87.01147636,0.235148515,99.185
74,0.14301,235,501,0.025,131.1969446,0.469061876,97.09
75,0.1436,244,476,0.025,142.7869198,0.512605042,97.667
76,0.1861,255,404,0.025,135.6664414,0.631188119,97.543
77,0.15155,180,1441,0.025,32.96951625,0.124913255,99.936
78,0.18672,133,1499,0.025,19.00724448,0.088725817,74.908
79,0.1765,164,1579,0.025,23.5384033,0.103863205,98.636
80,0.08968,101,683,0.025,65.957633,0.147877013,99.98
81,0.15265,216,362,0.025,156.3537721,0.596685083,95.982
82,0.14915,211,999,0.025,56.64397217,0.211211211,99.977
83,0.14136,155,687,0.025,63.84228402,0.225618632,99.68
84,0.16504,325,1552,0.025,50.75308204,0.209407216,99.997
85,0.1012,184,1584,0.025,45.91368228,0.116161616,99.974
86,0.16985,255,1321,0.025,45.46024824,0.193035579,99.984
87,0.15441,53,640,0.025,21.45262613,0.0828125,
88,0.12774,203,1441,0.025,44.11285198,0.140874393,99.963
89,0.1598,241,1612,0.025,37.42270891,0.149503722,99.983
90,0.13103,137,659,0.025,63.463556,0.207890744,99.935
91,0.07583,175,748,0.025,123.4114304,0.233957219,95.997
92,0.16772,75,437,0.025,40.93124588,0.171624714,85.846
93,0.15808,230,1410,0.025,41.27544721,0.163120567,99.996
94,0.05625,107,1160,0.025,65.59386973,0.092241379,99.899
95,0.16262,275,764,0.025,88.53711572,0.359947644,99.86
96,0.17173,157,272,0.025,134.4449735,0.577205882,94.478
97,0.09867,306,1362,0.025,91.0791947,0.224669604,99.99
98,0.11581,131,1224,0.025,36.96611477,0.107026144,97.512
99,0.15111,58,853,0.025,17.99889105,0.067995311,
100,0.12997,148,281,0.025,162.0959888,0.526690391,94.798
101,0.07575,225,940,0.025,126.3956183,0.239361702,99.914
102,0.13128,171,943,0.025,55.25172492,0.181336161,99.995
103,0.16655,146,1271,0.025,27.58815514,0.114870181,93.362
104,0.12168,193,358,0.025,177.220955,0.539106145,95.332
105,0.1899,296,1111,0.025,56.11935601,0.266426643,99.982
106,0.10364,154,814,0.025,73.01782678,0.189189189,99.935
107,0.19724,54,1046,0.025,10.46952728,0.051625239,
108,0.13995,217,1154,0.025,53.74536462,0.188041594,99.975
